datetime,pm25,pm10,o3,no2
409,2015-02-14,65.0,33.0,15.0,36.0
410,2015-02-15,67.0,54.0,9.0,51.0
411,2015-02-16,109.0,57.0,11.0,48.0
412,2015-02-17,108.0,68.0,5.0,54.0
413,2015-02-18,137.0,59.0,15.0,46.0
414,2015-02-19,131.0,28.0,23.0,41.0
415,2015-02-20,70.0,31.0,20.0,54.0
416,2015-02-21,77.0,29.0,24.0,42.0
417,2015-02-22,73.0,31.0,24.0,44.0
418,2015-02-23,65.0,37.0,19.0,47.0
419,2015-02-24,65.0,45.0,12.0,57.0
420,2015-02-25,85.0,36.0,25.0,47.0
421,2015-02-26,81.0,42.0,24.0,57.0
422,2015-02-27,77.0,37.0,24.0,42.0
423,2015-02-28,73.0,28.0,27.0,37.0
424,2015-03-01,67.0,31.0,27.0,48.0
425,2015-03-02,62.0,38.0,22.0,51.0
426,2015-03-03,69.0,42.0,23.0,52.0
427,2015-03-04,69.0,56.0,21.0,58.0
428,2015-03-05,81.0,63.0,14.0,72.0
429,2015-03-06,102.0,64.0,14.0,62.0
430,2015-03-07,122.0,58.0,20.0,55.0
431,2015-03-08,117.0,51.0,19.0,50.0
432,2015-03-09,93.0,57.0,6.0,50.0
433,2015-03-10,103.0,64.0,18.0,49.0
434,2015-03-11,113.0,54.0,23.0,49.0
435,2015-03-12,79.0,52.0,19.0,54.0
436,2015-03-13,92.0,58.0,21.0,46.0
437,2015-03-14,113.0,53.0,8.0,37.0
438,2015-03-15,120.0,58.0,16.0,52.0
439,2015-03-16,122.0,75.0,21.0,73.0
440,2015-03-17,146.0,82.0,18.0,48.0
441,2015-03-18,163.0,59.0,21.0,45.0
442,2015-03-19,124.0,86.0,16.0,49.0
443,2015-03-20,167.0,64.0,20.0,42.0
444,2015-03-21,116.0,42.0,17.0,37.0
445,2015-03-22,69.0,56.0,19.0,52.0
446,2015-03-23,98.0,47.0,18.0,58.0
447,2015-03-24,89.0,41.0,21.0,53.0
448,2015-03-25,74.0,43.0,15.0,55.0
449,2015-03-26,78.0,45.0,23.0,58.0
450,2015-03-27,65.0,30.0,19.0,37.0
451,2015-03-28,57.0,19.0,25.0,30.0
452,2015-03-29,34.0,27.0,28.0,40.0
453,2015-03-30,44.0,30.0,29.0,32.0
454,2015-03-31,44.0,34.0,27.0,40.0
455,2015-04-01,48.0,33.0,24.0,46.0
456,2015-04-02,52.0,44.0,10.0,52.0
457,2015-04-03,78.0,34.0,21.0,39.0
458,2015-04-04,72.0,38.0,33.0,44.0
459,2015-04-05,71.0,47.0,33.0,47.0
460,2015-04-06,86.0,49.0,34.0,57.0
461,2015-04-07,90.0,65.0,35.0,73.0
462,2015-04-08,118.0,71.0,30.0,80.0
463,2015-04-09,116.0,64.0,35.0,70.0
464,2015-04-10,89.0,37.0,28.0,47.0
465,2015-04-11,59.0,42.0,30.0,53.0
466,2015-04-12,73.0,52.0,23.0,61.0
467,2015-04-13,70.0,62.0,29.0,72.0
468,2015-04-14,71.0,59.0,29.0,76.0
469,2015-04-15,69.0,70.0,26.0,80.0
470,2015-04-16,78.0,71.0,24.0,52.0
471,2015-04-17,95.0,84.0,36.0,48.0
472,2015-04-18,67.0,61.0,38.0,49.0
473,2015-04-19,71.0,66.0,40.0,60.0
474,2015-04-20,82.0,70.0,37.0,57.0
475,2015-04-21,93.0,69.0,31.0,49.0
476,2015-04-22,92.0,66.0,35.0,62.0
477,2015-04-23,92.0,62.0,25.0,60.0
478,2015-04-24,95.0,34.0,29.0,43.0
479,2015-04-25,66.0,29.0,22.0,38.0
480,2015-04-26,59.0,43.0,28.0,34.0
481,2015-04-27,61.0,41.0,28.0,46.0
482,2015-04-28,59.0,47.0,28.0,50.0
483,2015-04-29,62.0,25.0,18.0,49.0
484,2015-04-30,58.0,22.0,24.0,43.0
485,2015-05-01,58.0,28.0,22.0,42.0
486,2015-05-02,66.0,22.0,27.0,30.0
487,2015-05-03,43.0,36.0,21.0,44.0
488,2015-05-04,61.0,56.0,37.0,39.0
489,2015-05-05,53.0,49.0,79.0,39.0
490,2015-05-06,47.0,40.0,44.0,48.0
491,2015-05-07,56.0,38.0,24.0,43.0
492,2015-05-08,62.0,34.0,32.0,33.0
493,2015-05-09,48.0,38.0,51.0,39.0
494,2015-05-10,58.0,51.0,28.0,61.0
495,2015-05-11,69.0,50.0,33.0,44.0
496,2015-05-12,58.0,49.0,32.0,57.0
497,2015-05-13,60.0,37.0,30.0,37.0
498,2015-05-14,59.0,47.0,31.0,40.0
499,2015-05-15,66.0,42.0,29.0,43.0
500,2015-05-16,65.0,46.0,39.0,49.0
501,2015-05-17,69.0,46.0,30.0,44.0
502,2015-05-18,58.0,49.0,27.0,42.0
503,2015-05-19,47.0,31.0,26.0,42.0
504,2015-05-20,49.0,42.0,35.0,53.0
505,2015-05-21,64.0,48.0,36.0,59.0
506,2015-05-22,75.0,48.0,27.0,39.0
507,2015-05-23,64.0,49.0,33.0,38.0
508,2015-05-24,68.0,35.0,36.0,29.0
509,2015-05-25,52.0,43.0,32.0,47.0
510,2015-05-26,60.0,50.0,36.0,60.0
511,2015-05-27,75.0,39.0,25.0,49.0
512,2015-05-28,60.0,44.0,31.0,45.0
513,2015-05-29,57.0,41.0,31.0,42.0
514,2015-05-30,49.0,35.0,25.0,28.0
515,2015-05-31,59.0,50.0,31.0,41.0
516,2015-06-01,56.0,43.0,27.0,38.0
517,2015-06-02,54.0,39.0,31.0,38.0
518,2015-06-03,57.0,53.0,41.0,64.0
519,2015-06-04,70.0,61.0,46.0,66.0
520,2015-06-05,76.0,45.0,37.0,33.0
521,2015-06-06,49.0,82.0,41.0,42.0
522,2015-06-07,64.0,73.0,32.0,36.0
523,2015-06-08,55.0,65.0,34.0,38.0
524,2015-06-09,90.0,61.0,42.0,51.0
525,2015-06-10,64.0,44.0,45.0,63.0
526,2015-06-11,77.0,43.0,39.0,56.0
527,2015-06-12,70.0,37.0,42.0,41.0
528,2015-06-13,60.0,47.0,39.0,37.0
529,2015-06-14,56.0,53.0,35.0,43.0
530,2015-06-15,79.0,56.0,37.0,44.0
531,2015-06-16,56.0,49.0,40.0,51.0
532,2015-06-17,61.0,35.0,28.0,32.0
533,2015-06-18,50.0,53.0,33.0,50.0
534,2015-06-19,69.0,46.0,29.0,37.0
535,2015-06-20,64.0,33.0,24.0,22.0
536,2015-06-21,44.0,35.0,17.0,36.0
537,2015-06-22,54.0,37.0,28.0,38.0
538,2015-06-23,57.0,47.0,36.0,60.0
539,2015-06-24,73.0,50.0,47.0,65.0
540,2015-06-25,74.0,56.0,50.0,74.0
541,2015-06-26,74.0,37.0,34.0,34.0
542,2015-06-27,51.0,37.0,41.0,43.0
543,2015-06-28,57.0,42.0,37.0,50.0
544,2015-06-29,53.0,58.0,45.0,74.0
545,2015-06-30,65.0,62.0,70.0,89.0
546,2015-07-01,81.0,56.0,44.0,57.0
547,2015-07-02,75.0,59.0,62.0,68.0
548,2015-07-03,77.0,59.0,63.0,65.0
549,2015-07-04,86.0,41.0,33.0,34.0
550,2015-07-05,58.0,52.0,41.0,65.0
551,2015-07-06,66.0,41.0,26.0,53.0
552,2015-07-07,63.0,33.0,22.0,31.0
553,2015-07-08,47.0,43.0,33.0,40.0
